date,first_name,last_name,position,team,team_key,timestamp,type
2017-02-09,Bojan,Bogdanovic,"SG,SF",One for the Mainland,364.l.8091.t.7,"Thu, 09 Feb 2017 16:02:17",add
2017-02-08,Bismack,Biyombo,"PF,C",Harry B's Hairy Bees,364.l.8091.t.13,"Wed, 08 Feb 2017 14:00:57",drop
2017-02-08,Maurice,Harkless,SF,Stream Team,364.l.8091.t.9,"Wed, 08 Feb 2017 00:36:28",add
2017-02-08,Emmanuel,Mudiay,PG,Stream Team,364.l.8091.t.9,"Wed, 08 Feb 2017 00:36:28",drop
2017-02-07,Tony,Allen,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Tue, 07 Feb 2017 22:30:44",add
2017-02-07,Dwight,Powell,"PF,C",Jimmy & Jimmy Co.,364.l.8091.t.6,"Tue, 07 Feb 2017 22:30:44",drop
2017-02-07,Shabazz,Muhammad,"SG,SF",Valar Moredunkis,364.l.8091.t.12,"Tue, 07 Feb 2017 18:06:24",drop
2017-02-07,Dwight,Powell,"PF,C",Jimmy & Jimmy Co.,364.l.8091.t.6,"Tue, 07 Feb 2017 02:59:21",add
2017-02-07,Terrence,Ross,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Tue, 07 Feb 2017 02:59:21",drop
2017-02-07,Jamal,Crawford,"SG,SF",Valar Moredunkis,364.l.8091.t.12,"Tue, 07 Feb 2017 01:40:52",add
2017-02-07,Tyreke,Evans,"PG,SG,SF",Valar Moredunkis,364.l.8091.t.12,"Tue, 07 Feb 2017 01:40:52",drop
2017-02-07,Brandon,Ingram,"SG,SF",Browshakalaka,364.l.8091.t.14,"Tue, 07 Feb 2017 01:15:36",add
2017-02-07,Chandler,Parsons,"SF,PF",Browshakalaka,364.l.8091.t.14,"Tue, 07 Feb 2017 01:15:36",drop
2017-02-06,T.J.,Warren,SF,Stream Team,364.l.8091.t.9,"Mon, 06 Feb 2017 20:34:33",add
2017-02-06,Evan,Turner,"SG,SF",Stream Team,364.l.8091.t.9,"Mon, 06 Feb 2017 20:34:33",drop
2017-02-06,Frank,Kaminsky,"PF,C",Adam Silver,364.l.8091.t.1,"Mon, 06 Feb 2017 12:57:20",add
2017-02-05,Matt,Barnes,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sun, 05 Feb 2017 19:22:55",add
2017-02-05,Kelly,Olynyk,C,D-League All-Stars,364.l.8091.t.5,"Sun, 05 Feb 2017 19:22:55",drop
2017-02-05,Evan,Turner,"SG,SF",Stream Team,364.l.8091.t.9,"Sun, 05 Feb 2017 02:59:40",add
2017-02-05,Tony,Allen,"SG,SF",Stream Team,364.l.8091.t.9,"Sun, 05 Feb 2017 02:59:40",drop
2017-02-04,Kelly,Olynyk,C,D-League All-Stars,364.l.8091.t.5,"Sat, 04 Feb 2017 19:22:53",add
2017-02-04,Bojan,Bogdanovic,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sat, 04 Feb 2017 19:22:53",drop
2017-02-04,Shabazz,Muhammad,"SG,SF",Valar Moredunkis,364.l.8091.t.12,"Sat, 04 Feb 2017 19:05:53",add
2017-02-04,JaVale,McGee,C,Valar Moredunkis,364.l.8091.t.12,"Sat, 04 Feb 2017 19:05:53",drop
2017-02-04,JaVale,McGee,C,Valar Moredunkis,364.l.8091.t.12,"Sat, 04 Feb 2017 02:44:03",add
2017-02-04,Luol,Deng,"SF,PF",Valar Moredunkis,364.l.8091.t.12,"Sat, 04 Feb 2017 02:44:03",drop
2017-02-04,Yogi,Ferrell,PG,D-League All-Stars,364.l.8091.t.5,"Sat, 04 Feb 2017 01:17:36",add
2017-02-04,Matthew,Dellavedova,"PG,SG",D-League All-Stars,364.l.8091.t.5,"Sat, 04 Feb 2017 01:17:36",drop
2017-02-03,Maurice,Harkless,SF,Adam Silver,364.l.8091.t.1,"Fri, 03 Feb 2017 23:11:01",drop
2017-02-03,Luol,Deng,"SF,PF",Valar Moredunkis,364.l.8091.t.12,"Fri, 03 Feb 2017 01:11:17",add
2017-02-03,Raymond,Felton,"PG,SG",Valar Moredunkis,364.l.8091.t.12,"Fri, 03 Feb 2017 01:11:17",drop
2017-02-02,Bojan,Bogdanovic,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Thu, 02 Feb 2017 21:17:55",add
2017-02-02,Brandon,Jennings,PG,D-League All-Stars,364.l.8091.t.5,"Thu, 02 Feb 2017 21:17:55",drop
2017-02-01,Willy,Hernangomez,C,Stream Team,364.l.8091.t.9,"Wed, 01 Feb 2017 23:37:27",add
2017-02-01,T.J.,Warren,SF,Stream Team,364.l.8091.t.9,"Wed, 01 Feb 2017 23:37:27",drop
2017-02-01,Emmanuel,Mudiay,PG,Stream Team,364.l.8091.t.9,"Wed, 01 Feb 2017 23:37:12",add
2017-02-01,Jameer,Nelson,PG,Stream Team,364.l.8091.t.9,"Wed, 01 Feb 2017 23:37:12",drop
2017-02-01,Bismack,Biyombo,"PF,C",Harry B's Hairy Bees,364.l.8091.t.13,"Wed, 01 Feb 2017 16:25:59",add
2017-02-01,Garrett,Temple,"PG,SG",Harry B's Hairy Bees,364.l.8091.t.13,"Wed, 01 Feb 2017 16:25:59",drop
2017-01-31,Matthew,Dellavedova,"PG,SG",D-League All-Stars,364.l.8091.t.5,"Tue, 31 Jan 2017 22:47:04",add
2017-01-31,Ty,Lawson,PG,D-League All-Stars,364.l.8091.t.5,"Tue, 31 Jan 2017 22:47:04",drop
2017-01-30,Brandon,Jennings,PG,D-League All-Stars,364.l.8091.t.5,"Mon, 30 Jan 2017 04:43:52",add
2017-01-30,Andre,Iguodala,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Mon, 30 Jan 2017 04:43:52",drop
2017-01-30,Raymond,Felton,"PG,SG",Valar Moredunkis,364.l.8091.t.12,"Mon, 30 Jan 2017 04:01:01",add
2017-01-30,Kyle,Anderson,"SG,SF",Valar Moredunkis,364.l.8091.t.12,"Mon, 30 Jan 2017 04:01:01",drop
2017-01-30,Marvin,Williams,"SF,PF",Icin On The Beefcake,364.l.8091.t.11,"Mon, 30 Jan 2017 03:27:38",add
2017-01-30,Brandon,Ingram,"SG,SF",Icin On The Beefcake,364.l.8091.t.11,"Mon, 30 Jan 2017 03:27:38",drop
2017-01-29,Terrence,Ross,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Sun, 29 Jan 2017 20:39:04",add
2017-01-29,Dejounte,Murray,PG,Jimmy & Jimmy Co.,364.l.8091.t.6,"Sun, 29 Jan 2017 20:39:04",drop
2017-01-29,Zaza,Pachulia,C,Stream Team,364.l.8091.t.9,"Sun, 29 Jan 2017 16:26:25",drop
2017-01-29,Kyle,Anderson,"SG,SF",Valar Moredunkis,364.l.8091.t.12,"Sun, 29 Jan 2017 01:23:34",add
2017-01-29,Darrell,Arthur,"PF,C",Valar Moredunkis,364.l.8091.t.12,"Sun, 29 Jan 2017 01:23:34",drop
2017-01-28,Andre,Iguodala,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sat, 28 Jan 2017 23:47:45",add
2017-01-28,Bojan,Bogdanovic,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sat, 28 Jan 2017 23:47:45",drop
2017-01-27,Lucas,Nogueira,"PF,C",Stream Team,364.l.8091.t.9,"Fri, 27 Jan 2017 21:49:51",add
2017-01-27,Willy,Hernangomez,C,Stream Team,364.l.8091.t.9,"Fri, 27 Jan 2017 21:49:51",drop
2017-01-27,Dario,Saric,"SF,PF",Cool Cats,364.l.8091.t.4,"Fri, 27 Jan 2017 20:47:10",add
2017-01-27,Bojan,Bogdanovic,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Fri, 27 Jan 2017 20:33:38",add
2017-01-27,Matthew,Dellavedova,"PG,SG",D-League All-Stars,364.l.8091.t.5,"Fri, 27 Jan 2017 20:33:38",drop
2017-01-27,Rodney,Hood,"SG,SF",Cool Cats,364.l.8091.t.4,"Fri, 27 Jan 2017 03:22:40",add
2017-01-27,Marvin,Williams,"SF,PF",Cool Cats,364.l.8091.t.4,"Fri, 27 Jan 2017 03:22:40",drop
2017-01-26,Ivica,Zubac,C,Stream Team,364.l.8091.t.9,"Thu, 26 Jan 2017 23:24:42",add
2017-01-26,Joe,Ingles,"SG,SF",Stream Team,364.l.8091.t.9,"Thu, 26 Jan 2017 23:24:42",drop
2017-01-26,Willy,Hernangomez,C,Stream Team,364.l.8091.t.9,"Thu, 26 Jan 2017 15:13:43",add
2017-01-26,Kelly,Olynyk,C,Stream Team,364.l.8091.t.9,"Thu, 26 Jan 2017 15:13:43",drop
2017-01-26,Darrell,Arthur,"PF,C",Valar Moredunkis,364.l.8091.t.12,"Thu, 26 Jan 2017 00:36:05",add
2017-01-26,Nikola,Mirotic,"SF,PF",Valar Moredunkis,364.l.8091.t.12,"Thu, 26 Jan 2017 00:36:05",drop
2017-01-25,Tony,Allen,"SG,SF",Stream Team,364.l.8091.t.9,"Wed, 25 Jan 2017 00:53:43",add
2017-01-25,Rodney,Hood,"SG,SF",Stream Team,364.l.8091.t.9,"Wed, 25 Jan 2017 00:53:43",drop
2017-01-25,Darren,Collison,PG,Jimmy & Jimmy Co.,364.l.8091.t.6,"Wed, 25 Jan 2017 00:13:54",add
2017-01-25,Jeff,Green,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Wed, 25 Jan 2017 00:13:54",drop
2017-01-24,Matthew,Dellavedova,"PG,SG",D-League All-Stars,364.l.8091.t.5,"Tue, 24 Jan 2017 20:42:06",add
2017-01-24,Raymond,Felton,"PG,SG",D-League All-Stars,364.l.8091.t.5,"Tue, 24 Jan 2017 20:42:06",drop
2017-01-24,JaMychal,Green,PF,Icin On The Beefcake,364.l.8091.t.11,"Tue, 24 Jan 2017 20:39:18",add
2017-01-24,Marreese,Speights,"PF,C",Icin On The Beefcake,364.l.8091.t.11,"Tue, 24 Jan 2017 20:39:18",drop
2017-01-24,Montrezl,Harrell,"PF,C",Trinh,364.l.8091.t.10,"Tue, 24 Jan 2017 07:08:12",drop
2017-01-23,Kelly,Olynyk,C,Stream Team,364.l.8091.t.9,"Mon, 23 Jan 2017 23:22:15",add
2017-01-23,Bojan,Bogdanovic,"SG,SF",Stream Team,364.l.8091.t.9,"Mon, 23 Jan 2017 23:22:15",drop
2017-01-23,P.J.,Tucker,"SG,SF",Forgot About Dray,364.l.8091.t.3,"Mon, 23 Jan 2017 19:40:08",add
2017-01-23,Dejounte,Murray,PG,Jimmy & Jimmy Co.,364.l.8091.t.6,"Mon, 23 Jan 2017 11:56:32",add
2017-01-23,Terrence,Ross,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Mon, 23 Jan 2017 11:56:32",drop
2017-01-22,Bojan,Bogdanovic,"SG,SF",Stream Team,364.l.8091.t.9,"Sun, 22 Jan 2017 22:31:03",add
2017-01-22,Bismack,Biyombo,"PF,C",Stream Team,364.l.8091.t.9,"Sun, 22 Jan 2017 22:31:03",drop
2017-01-22,Ty,Lawson,PG,D-League All-Stars,364.l.8091.t.5,"Sun, 22 Jan 2017 17:30:57",add
2017-01-22,Josh,Richardson,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sun, 22 Jan 2017 17:30:18",add
2017-01-22,Andre,Iguodala,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sun, 22 Jan 2017 17:30:18",drop
2017-01-22,Jameer,Nelson,PG,Stream Team,364.l.8091.t.9,"Sun, 22 Jan 2017 00:11:58",add
2017-01-22,Emmanuel,Mudiay,PG,Stream Team,364.l.8091.t.9,"Sun, 22 Jan 2017 00:11:58",drop
2017-01-21,Andre,Iguodala,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sat, 21 Jan 2017 23:03:22",add
2017-01-21,Darren,Collison,PG,D-League All-Stars,364.l.8091.t.5,"Sat, 21 Jan 2017 23:03:22",drop
2017-01-21,JaMychal,Green,PF,D-League All-Stars,364.l.8091.t.5,"Sat, 21 Jan 2017 22:59:56",drop
2017-01-21,Zaza,Pachulia,C,Stream Team,364.l.8091.t.9,"Sat, 21 Jan 2017 22:48:59",add
2017-01-21,Dario,Saric,"SF,PF",Stream Team,364.l.8091.t.9,"Sat, 21 Jan 2017 22:48:59",drop
2017-01-21,Jeff,Green,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Sat, 21 Jan 2017 22:32:29",add
2017-01-21,Tony,Allen,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Sat, 21 Jan 2017 22:32:29",drop
2017-01-21,Iman,Shumpert,"SG,SF",Icin On The Beefcake,364.l.8091.t.11,"Sat, 21 Jan 2017 22:27:25",add
2017-01-21,Michael,Carter-Williams,PG,Icin On The Beefcake,364.l.8091.t.11,"Sat, 21 Jan 2017 22:27:25",drop
2017-01-21,Bismack,Biyombo,"PF,C",Stream Team,364.l.8091.t.9,"Sat, 21 Jan 2017 03:42:16",add
2017-01-21,Dewayne,Dedmon,C,Stream Team,364.l.8091.t.9,"Sat, 21 Jan 2017 03:42:16",drop
2017-01-21,Dewayne,Dedmon,C,Stream Team,364.l.8091.t.9,"Sat, 21 Jan 2017 02:14:54",add
2017-01-21,Lucas,Nogueira,"PF,C",Stream Team,364.l.8091.t.9,"Sat, 21 Jan 2017 02:14:54",drop
2017-01-20,Dion,Waiters,"SG,SF",Icin On The Beefcake,364.l.8091.t.11,"Fri, 20 Jan 2017 21:59:50",add
2017-01-20,Allen,Crabbe,"PG,SG",Icin On The Beefcake,364.l.8091.t.11,"Fri, 20 Jan 2017 21:59:50",drop
2017-01-19,Garrett,Temple,"PG,SG",Harry B's Hairy Bees,364.l.8091.t.13,"Thu, 19 Jan 2017 23:30:24",add
2017-01-19,David,Lee,"PF,C",One for the Mainland,364.l.8091.t.7,"Thu, 19 Jan 2017 22:44:46",add
2017-01-19,Mindaugas,Kuzminskas,"SF,PF",One for the Mainland,364.l.8091.t.7,"Thu, 19 Jan 2017 22:44:46",drop
2017-01-19,Terrence,Ross,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Thu, 19 Jan 2017 21:42:02",add
2017-01-19,Alex,Len,"PF,C",Jimmy & Jimmy Co.,364.l.8091.t.6,"Thu, 19 Jan 2017 21:42:02",drop
2017-01-19,T.J.,McConnell,PG,Stream Team,364.l.8091.t.9,"Thu, 19 Jan 2017 04:16:33",add
2017-01-19,P.J.,Tucker,"SG,SF",Stream Team,364.l.8091.t.9,"Thu, 19 Jan 2017 04:16:33",drop
2017-01-19,P.J.,Tucker,"SG,SF",Stream Team,364.l.8091.t.9,"Thu, 19 Jan 2017 02:00:48",add
2017-01-19,Malcolm,Delaney,SG,Stream Team,364.l.8091.t.9,"Thu, 19 Jan 2017 02:00:48",drop
2017-01-19,JaMychal,Green,PF,D-League All-Stars,364.l.8091.t.5,"Thu, 19 Jan 2017 01:00:34",add
2017-01-19,Kelly,Olynyk,C,D-League All-Stars,364.l.8091.t.5,"Thu, 19 Jan 2017 01:00:34",drop
2017-01-19,Mindaugas,Kuzminskas,"SF,PF",One for the Mainland,364.l.8091.t.7,"Thu, 19 Jan 2017 01:00:29",add
2017-01-19,Rudy,Gay,"SF,PF",One for the Mainland,364.l.8091.t.7,"Thu, 19 Jan 2017 01:00:29",drop
2017-01-18,Rondae,Hollis-Jefferson,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Wed, 18 Jan 2017 22:34:10",add
2017-01-18,Joakim,Noah,"PF,C",Jimmy & Jimmy Co.,364.l.8091.t.6,"Wed, 18 Jan 2017 22:34:10",drop
2017-01-18,Dario,Saric,"SF,PF",Stream Team,364.l.8091.t.9,"Wed, 18 Jan 2017 01:13:28",add
2017-01-18,Marquese,Chriss,PF,Stream Team,364.l.8091.t.9,"Wed, 18 Jan 2017 01:13:28",drop
2017-01-17,Raymond,Felton,"PG,SG",D-League All-Stars,364.l.8091.t.5,"Tue, 17 Jan 2017 20:00:32",add
2017-01-17,Sergio,Rodriguez,PG,D-League All-Stars,364.l.8091.t.5,"Tue, 17 Jan 2017 20:00:32",drop
2017-01-17,Austin,Rivers,"PG,SG,SF",Adam Silver,364.l.8091.t.1,"Tue, 17 Jan 2017 19:18:28",add
2017-01-17,Jodie,Meeks,SG,Adam Silver,364.l.8091.t.1,"Tue, 17 Jan 2017 19:18:28",drop
2017-01-17,Kelly,Olynyk,C,D-League All-Stars,364.l.8091.t.5,"Tue, 17 Jan 2017 06:04:17",add
2017-01-17,Bojan,Bogdanovic,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Tue, 17 Jan 2017 06:04:17",drop
2017-01-16,Jodie,Meeks,SG,Adam Silver,364.l.8091.t.1,"Mon, 16 Jan 2017 22:18:23",add
2017-01-16,Joe,Ingles,"SG,SF",Stream Team,364.l.8091.t.9,"Mon, 16 Jan 2017 20:30:39",add
2017-01-16,Sergio,Rodriguez,PG,D-League All-Stars,364.l.8091.t.5,"Mon, 16 Jan 2017 17:36:09",add
2017-01-16,T.J.,McConnell,PG,D-League All-Stars,364.l.8091.t.5,"Mon, 16 Jan 2017 17:36:09",drop
2017-01-16,Malcolm,Delaney,SG,Stream Team,364.l.8091.t.9,"Mon, 16 Jan 2017 02:52:31",add
2017-01-16,Luol,Deng,"SF,PF",Stream Team,364.l.8091.t.9,"Mon, 16 Jan 2017 02:52:31",drop
2017-01-16,Terrence,Jones,"SF,PF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Mon, 16 Jan 2017 01:02:24",add
2017-01-16,Sean,Kilpatrick,"PG,SG",Jimmy & Jimmy Co.,364.l.8091.t.6,"Mon, 16 Jan 2017 01:02:24",drop
2017-01-16,Emmanuel,Mudiay,PG,Stream Team,364.l.8091.t.9,"Mon, 16 Jan 2017 00:54:37",add
2017-01-16,Kyle,O'Quinn,"PF,C",Stream Team,364.l.8091.t.9,"Mon, 16 Jan 2017 00:54:37",drop
2017-01-14,Sean,Kilpatrick,"PG,SG",Jimmy & Jimmy Co.,364.l.8091.t.6,"Sat, 14 Jan 2017 22:49:52",add
2017-01-14,Patty,Mills,PG,Jimmy & Jimmy Co.,364.l.8091.t.6,"Sat, 14 Jan 2017 22:49:52",drop
2017-01-14,Kyle,O'Quinn,"PF,C",Stream Team,364.l.8091.t.9,"Sat, 14 Jan 2017 20:35:21",add
2017-01-14,Buddy,Hield,SG,Stream Team,364.l.8091.t.9,"Sat, 14 Jan 2017 20:35:21",drop
2017-01-14,Cody,Zeller,"PF,C",Valar Moredunkis,364.l.8091.t.12,"Sat, 14 Jan 2017 04:56:52",add
2017-01-14,JaMychal,Green,PF,Valar Moredunkis,364.l.8091.t.12,"Sat, 14 Jan 2017 04:56:52",drop
2017-01-13,Brandon,Ingram,"SG,SF",Icin On The Beefcake,364.l.8091.t.11,"Fri, 13 Jan 2017 22:44:07",add
2017-01-13,Rondae,Hollis-Jefferson,"SG,SF",Icin On The Beefcake,364.l.8091.t.11,"Fri, 13 Jan 2017 22:44:07",drop
2017-01-13,Seth,Curry,"PG,SG",D-League All-Stars,364.l.8091.t.5,"Fri, 13 Jan 2017 15:28:43",add
2017-01-13,Brandon,Jennings,PG,D-League All-Stars,364.l.8091.t.5,"Fri, 13 Jan 2017 15:28:43",drop
2017-01-12,Marquese,Chriss,PF,Stream Team,364.l.8091.t.9,"Thu, 12 Jan 2017 01:18:42",add
2017-01-12,Dario,Saric,"SF,PF",Stream Team,364.l.8091.t.9,"Thu, 12 Jan 2017 01:18:42",drop
2017-01-11,JaMychal,Green,PF,Valar Moredunkis,364.l.8091.t.12,"Wed, 11 Jan 2017 21:53:03",add
2017-01-11,Dwight,Powell,"PF,C",Valar Moredunkis,364.l.8091.t.12,"Wed, 11 Jan 2017 21:53:03",drop
2017-01-11,Buddy,Hield,SG,Stream Team,364.l.8091.t.9,"Wed, 11 Jan 2017 10:05:54",add
2017-01-11,Ty,Lawson,PG,Stream Team,364.l.8091.t.9,"Wed, 11 Jan 2017 10:05:54",drop
2017-01-10,Dario,Saric,"SF,PF",Stream Team,364.l.8091.t.9,"Tue, 10 Jan 2017 23:42:14",add
2017-01-10,Doug,McDermott,SF,Stream Team,364.l.8091.t.9,"Tue, 10 Jan 2017 23:42:14",drop
2017-01-10,Al-Farouq,Aminu,"SF,PF",D-League All-Stars,364.l.8091.t.5,"Tue, 10 Jan 2017 21:45:34",add
2017-01-10,Brandon,Jennings,PG,D-League All-Stars,364.l.8091.t.5,"Tue, 10 Jan 2017 05:26:43",add
2017-01-10,Tony,Parker,PG,D-League All-Stars,364.l.8091.t.5,"Tue, 10 Jan 2017 05:26:43",drop
2017-01-09,Michael,Kidd-Gilchrist,SF,Jimmy & Jimmy Co.,364.l.8091.t.6,"Mon, 09 Jan 2017 20:56:17",add
2017-01-09,Terrence,Ross,"SG,SF",Jimmy & Jimmy Co.,364.l.8091.t.6,"Mon, 09 Jan 2017 20:56:17",drop
2017-01-09,Doug,McDermott,SF,Stream Team,364.l.8091.t.9,"Mon, 09 Jan 2017 02:43:47",add
2017-01-09,JaMychal,Green,PF,Stream Team,364.l.8091.t.9,"Mon, 09 Jan 2017 02:43:47",drop
2017-01-08,T.J.,McConnell,PG,D-League All-Stars,364.l.8091.t.5,"Sun, 08 Jan 2017 23:35:38",add
2017-01-08,P.J.,Tucker,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sun, 08 Jan 2017 23:35:38",drop
2017-01-08,Tim,Hardaway Jr.,"SG,SF",D-League All-Stars,364.l.8091.t.5,"Sun, 08 Jan 2017 22:59:50",add
2017-01-08,Monta,Ellis,"PG,SG",D-League All-Stars,364.l.8091.t.5,"Sun, 08 Jan 2017 22:59:50",drop
2017-01-08,Lucas,Nogueira,"PF,C",Stream Team,364.l.8091.t.9,"Sun, 08 Jan 2017 00:53:24",add
2017-01-08,Sean,Kilpatrick,"PG,SG",Stream Team,364.l.8091.t.9,"Sun, 08 Jan 2017 00:53:24",drop
2017-01-07,Luol,Deng,"SF,PF",Stream Team,364.l.8091.t.9,"Sat, 07 Jan 2017 23:15:57",add
2017-01-07,Josh,Richardson,"SG,SF",Stream Team,364.l.8091.t.9,"Sat, 07 Jan 2017 23:15:57",drop
2017-01-07,Ty,Lawson,PG,Stream Team,364.l.8091.t.9,"Sat, 07 Jan 2017 23:14:50",add
2017-01-07,Buddy,Hield,SG,Stream Team,364.l.8091.t.9,"Sat, 07 Jan 2017 23:14:50",drop
2017-01-07,Kenneth,Faried,"PF,C",Harry B's Hairy Bees,364.l.8091.t.13,"Sat, 07 Jan 2017 18:31:49",add
